kommuneId,navn,antall,Ap,Frp,H,KrF,MDG,R,Sp,SV,V,A
3101,Halden,14844,17.53570466,6.965777418,27.89679332,3.220156292,7.127458906,7.033144705,13.72271625,5.012126112,2.647534357,8.838587982
3103,Moss,23864,27.62319812,8.728628897,18.99094871,2.409487094,5.874958096,7.044083138,7.207509219,5.996480054,4.634596044,11.49011063
3105,Sarpsborg,25124,34.45709282,10.35663111,9.795414743,3.996178952,3.964336889,4.21111288,10.79047922,2.416016558,1.241840471,18.77089635
3107,Fredrikstad,37497,36.31223831,12.52900232,15.26255434,3.530949143,6.931221164,4.992399392,6.643198123,4.429687708,1.464117129,7.904632371
3301,Drammen,47682,26.15662095,10.70215176,25.65118913,2.246130615,8.592340925,2.514575731,7.967367141,4.492261231,2.088838555,9.588523971
3303,Kongsberg,13251,20.35318089,4.444947551,16.00633914,0,7.078711041,1.811184062,25.64334767,5.056222172,3.184665308,16.42140216
3305,Ringerike,14169,27.25668713,9.916013833,18.85101277,2.00437575,4.545133743,3.94523255,24.33481544,5.420283718,2.724257181,1.002187875
3110,Hvaler,2767,35.95952295,18.21467293,8.492952656,0,5.42103361,0,13.04662089,7.228044814,0,11.63715215
3124,Aremark,834,21.58273381,0,17.14628297,9.352517986,0,0,51.91846523,0,0,0
3122,Marker,1888,35.38135593,0,12.07627119,0,0,0,44.33262712,0,8.209745763,0
3118,Indre Østfold,20012,19.89306416,7.845292824,25.63461923,3.407955227,3.727763342,2.363581851,31.01139316,3.577853288,1.973815711,0.564661203
3116,Skiptvet,1865,36.56836461,6.595174263,11.36729223,5.469168901,0,0,40,0,0,0
3120,Rakkestad,3970,25.74307305,7.17884131,10.68010076,7.707808564,3.425692695,0,45.26448363,0,0,0
3112,Råde,3671,15.60882593,8.444565513,37.91882321,6.864614546,5.938436393,1.906837374,21.41105966,0,1.906837374,0
3114,Våler (Viken),2663,11.15283515,7.285016898,29.85354863,5.031918888,0,3.792714983,38.0022531,4.881712354,0,0
3216,Vestby,8790,31.26279863,8.100113766,19.21501706,1.911262799,10.1592719,3.219567691,8.361774744,4.857792947,3.435722412,9.476678043
3207,Nordre Follo,31002,23.39849042,8.338171731,29.94968067,2.522417909,10.150958,3.009483259,7.099541965,5.386749242,6.089929682,4.054577124
3218,Ås,9724,26.70711641,9.718222954,18.4903332,2.457836281,12.11435623,4.699712053,12.46400658,8.566433566,4.781982723,0
